"","year","journal","article","title","zenURL","zenName","dvURL","dvName"
"1",2018,"Review of Economics and Statistics",18,"ACCOUNTABILITY AND INCENTIVES OF APPOINTED AND ELECTED PUBLIC OFFICIALS",NA,NA,"https://doi.org/10.7910/DVN/FZWOMK","Replication data for: ""Accountability and Incentives of Appointed and Elected Public Officials"""
"2",2018,"Journal of Development Economics",4,"Abolishing user fees, fertility choice, and educational attainment?","https://doi.org/10.5061/dryad.n40m6","Data from: Protein and carbohydrate intake influence sperm number and male fertility in male cockroaches but not sperm viability","https://doi.org/10.7910/DVN/MGQNLH","this dataset contains research activities related to acid soil management project"
"3",2018,"AEJ: Applied Economics",13,"Academic Peer Effects with Different Group Assignment Policies: Residential Tracking versus Random Assignment","https://doi.org/10.5281/zenodo.17335971","Fairness and Bias Assessment Across Disciplines and Difficulty Levels","https://doi.org/10.3886/E113711V1","Replication data for: Academic Peer Effects with Different Group Assignment Policies: Residential Tracking versus Random Assignment"
"4",2018,"Journal of Economic Growth",12,"Agricultural productivity and economic development: the contribution of clover to structural transformation in Denmark","https://doi.org/10.5061/dryad.80gb5mkp3","Efficacy of cover crops for pollinator habitat provision and weed suppression","https://doi.org/10.7910/DVN/LRC6UE","An Inquiry into Research Methods Practices: Case Study of Center for Agricultural Research and Development in Malawi"
"5",2015,"Journal of Urban Economics",5,"Air service and urban growth: Evidence from a quasi-natural policy experiment","https://doi.org/10.5061/dryad.8gtht76rp","How does the selection of National Development Zones affect urban green innovation?","https://doi.org/10.7910/DVN/AIBFFJ","Replication Data for:"
"6",2018,"Journal of Finance",27,"Asset Management within Commercial Banking Groups: International Evidence","https://doi.org/10.5281/zenodo.20610731","""METHODS OF CREDIT RISK MANAGEMENT IN ENSURING THE FINANCIAL STABILITY OF COMMERCIAL BANKS""","https://doi.org/10.7910/DVN/5XNQBO","Replication Data for: “Experimental Evidence on the Financial Consequences of International Organization Legitimacy”"
"7",2015,"Journal of Financial Economics",10,"Attentive insider trading","https://doi.org/10.5281/zenodo.7957927","Insider trading regulation and trader migration","https://doi.org/10.7910/DVN/5P1GRO","Community and health system intervention to reduce disrespect and abuse during childbirth in Tanga Region, Tanzania: A comparative before-and-after study"
"8",2015,"Review of Economics and Statistics",511,"BARRIERS TO ENTRY IN THE AIRLINE INDUSTRY: A MULTIDIMENSIONAL REGRESSION-DISCONTINUITY ANALYSIS OF AIR-21","https://doi.org/10.5281/zenodo.19071593","PEDAGOGICAL AND PSYCHOLOGICAL BARRIERS IN THE ACTIVITIES OF YOUNG TEACHERS","https://doi.org/10.7910/DVN/23624","Partisan Imbalance in Regression Discontinuity Studies Based on Electoral Thresholds"
"9",2018,"Economic Journal",31,"BETTING ON EXPORTS: TRADE AND ENDOGENOUS HETEROGENEITY*",NA,NA,"https://doi.org/10.7910/DVN/UQT1ZL","Replication Data for Does The World Trade Organization Enable Biosecurity and Trade for Importers and Exporters?"
"10",2018,"Journal of Public Economics",91,"Balanced budget rules and fiscal outcomes: Evidence from historical constitutions","https://doi.org/10.5281/zenodo.19391068","THE ROLE AND IMPORTANCE OF TAXES IN FORMING STATE BUDGET REVENUES","https://doi.org/10.7910/DVN/SST0FF","Replication Data for: The Rule of Law, Collective Action, and Growth: Micro Evidence from Peru"
"11",2018,"Journal of Public Economics",66,"Behavioral responses to inheritance tax: Evidence from notches in France","https://doi.org/10.5061/dryad.sf7m0cg31","Data from: Queen succession conflict in the paper wasp Polistes dominula is mitigated by age-based convention","https://doi.org/10.7910/DVN/QP3TCM","Replication Data for: ""Mobility responses to the establishment of a residential tax haven: Evidence from Switzerland."""
"12",2018,"Review of Economics and Statistics",53,"CAN MATERNITY BENEFITS HAVE LONG-TERM EFFECTS ON CHILDBEARING? EVIDENCE FROM SOVIET RUSSIA","https://doi.org/10.5061/dryad.h6763","Data from: No apparent benefits of allonursing for recipient offspring and mothers in the cooperatively breeding meerkat","https://doi.org/10.7910/DVN/MHIAIA","Replication Data for: ""Can Maternity Benefits Have Long-Term Effects on Childbearing? Evidence from Soviet Russia"""
"13",2018,"Economic Journal",69,"CONSUMPTION AND INVESTMENT IN RESOURCE POOLING FAMILY NETWORKS","https://doi.org/10.5281/zenodo.19107261","DEVELOPMENT TRENDS AND FUTURE PROSPECTS OF THE INSURANCE MARKET IN UZBEKISTAN","https://doi.org/10.7910/DVN/VRXMLK","Replication Data for: Marketing investment information: differentiation resource or secret? published by RAC-Revista de Administração Contemporânea"
